name,id
Hardee's Pakistan,431
Chef Grace Ramirez,411
Yard House,49
Burger King México,492
タコベル ジャパン　Taco Bell Japan,115
JW Café - JW Marriott Hotel Hanoi,374
Cocina familiar con Javier Romero,162
ad hoc & addendum,86
Melissa King,419
Charley's Crab,252
McDonald's,541
Magnum,336
Gaston Acurio,529
Carlos Bertolazzi,103
On The Border,278
David Chang,67
T-rex Cafe,520
Chef Natale Giunta,168
Chef Kiran Jethwa,97
The French Laundry,578
McDonald's,428
Nicko's Kitchen,261
KFC,494
Chef Damaris Phillips,554
Jumia Food,163
Luke Thomas,381
Clodagh McKenna,140
Chef Michelle Bernstein,157
SORTEDfood,114
